,topic,keyword
0,Jewelry Designers,Bulgari
1,Jewelry Designers,Frank Patania Sr.
2,Gemstones,Turquoise
3,Gemstones,Red Coral
4,Gemstones,Diamonds
5,Gemstones,Pearls
6,Gemstones,Emeralds
7,Gemstones,Sapphires
8,Gemstones,Rose Quartz
9,Gemstones,Demantoid Garnet
10,Gemstones,Magnesio-axinite
11,Gemstones,Merelani Mint Garnet
12,Gemstones,Afghanite
13,Gemstones,Padparadscha Sapphire
14,Gemstones,Gray Spinel
15,Gemstones,Purple Garnet
16,Gemstones,Diamond
17,Gemstones,Paraiba Tourmaline
18,Gemstones,Ruby
19,Gemstones,Emerald
20,Jewelry Styles and Periods,Edwardian Jewelry
21,Jewelry Styles and Periods,Southwestern Jewelry
22,Gemology,Shell Blister
23,Gemology,Vaterite
24,DIAMONDS,Diamond Producers Association
25,DIAMONDS,ForeverMark
26,COLORED STONES,Gemfields
27,COLORED STONES,Faberge
28,LABORATORY-GROWN DIAMONDS,Lightbox
29,ORGANIZATIONS,Responsible Jewelry Council (RJC)
30,Concepts,Fluorescence
31,Concepts,GIA 7 Pearl Value Factors
32,Locations,Namak Mandi
33,Locations,Diavik Diamond Mine
34,Locations,Cattle Grid Pit
35,Locations,"Merelani Hills, Tanzania"
36,Locations,"Badakhshan Province, Afghanistan"
37,Gemstone Enhancements,Irradiated Diamonds
38,Gemological Institutes and Organizations,GIA (Gemological Institute of America)
39,Gemological Institutes and Organizations,AGTA (American Gem Trade Association)
40,Gem and Mineral Events,Tucson Gem and Mineral Show (TGMS)
41,Gemological Professionals,Gemologist
42,Mozambique Ruby Deposits,Camada
43,Mozambique Ruby Deposits,Amphibole
44,Ruby Mining Techniques,Optical Sorting
45,Ruby Mining Techniques,Dense Media Separation
46,Key People and Organizations,Gemfields
47,Key People and Organizations,Fura Gems
48,Key People and Organizations,GemRock
49,Minerals,Bismuthinite
50,Minerals,Rutile
51,Minerals,Wittichenite
52,Minerals,Paraíba Tourmaline
53,Mining Locations,Madagascar
54,Mining Locations,Sri Lanka
55,Gem Dealers,Bill Vance
56,Gem Shows,GJX
57,Gem Shows,AGTA
58,Organizations,GIA
59,Organizations,AGTA
60,Brands,Bhansali
61,Brands,King Baby
62,Events,GIA Jewelry Career Fair
